cgpa,tenth_percent,twelfth_percent,skills_count,projects_count,certifications_count,internships_count,backlogs,placed
9.67,85.95,75.08,6,1,1,0,0,1
8.27,83.48,83.53,3,0,1,2,1,1
6.61,75.13,66.69,4,2,1,0,0,0
8.46,87.6,81.65,3,2,0,1,1,1
6.83,77.39,79.86,5,3,0,1,0,1
8.59,82.98,85.21,3,0,1,0,0,1
8.96,99.0,81.08,2,5,1,0,1,1
6.98,81.23,71.24,1,5,0,1,0,0
8.76,91.19,90.77,4,1,1,0,1,1
8.21,76.37,78.57,9,4,0,1,0,1
8.62,81.72,79.75,2,2,1,1,0,1
9.7,96.17,71.6,6,3,2,1,0,1
7.55,76.98,76.01,5,2,1,1,0,1
7.05,96.5,72.04,3,3,2,1,1,1
6.91,87.66,78.44,3,2,4,1,0,1
6.98,77.5,95.41,2,2,1,1,1,0
7.72,87.06,67.65,4,2,1,0,1,1
8.14,89.78,65.48,3,2,2,0,1,1
8.08,86.97,93.24,1,0,2,1,0,1
8.63,69.44,78.12,5,4,1,1,1,1
7.81,76.18,73.98,4,4,1,1,0,1
9.25,80.02,89.36,7,1,2,0,0,1
7.54,81.4,74.55,4,3,2,1,0,1
10.0,86.97,96.43,7,0,2,0,0,1
8.43,83.42,86.1,4,2,0,0,0,1
6.94,71.32,75.61,3,0,1,1,1,0
6.73,85.04,98.0,1,3,2,0,0,1
8.28,86.88,74.55,4,2,3,1,0,1
7.58,86.48,86.68,1,1,1,1,1,0
8.51,90.65,82.69,3,0,2,1,0,1
8.27,88.67,91.72,3,0,0,1,0,1
7.73,85.67,94.05,2,4,1,0,0,1
6.95,81.44,80.29,5,2,3,0,1,1
6.29,68.71,73.22,5,2,0,2,0,1
7.35,85.44,84.14,5,3,2,1,0,1
8.66,83.66,73.9,3,5,1,1,0,1
8.01,84.17,98.0,4,3,3,0,1,1
6.55,71.79,81.23,1,0,0,1,1,0
7.97,73.35,76.71,3,0,2,1,1,1
8.19,90.43,81.66,3,2,1,1,0,1
6.92,81.68,67.88,8,2,0,1,0,1
7.95,87.45,71.26,4,2,1,0,0,1
7.86,82.23,90.8,4,3,2,0,0,1
6.66,82.24,74.09,4,0,2,1,0,1
8.16,89.51,70.58,2,0,1,2,0,1
8.36,77.87,84.83,5,3,0,0,0,1
8.88,82.77,90.67,2,2,0,1,1,1
8.85,78.3,86.47,5,3,1,0,0,1
6.42,78.52,88.96,3,1,3,0,1,0
6.86,79.53,73.19,4,3,1,0,0,1
8.32,83.78,67.2,6,3,0,0,0,1
8.31,78.17,93.51,3,1,0,1,0,1
8.32,92.05,77.1,9,3,2,1,0,1
10.0,74.84,77.74,4,4,0,0,0,1
8.37,80.51,91.95,4,2,1,0,0,1
8.94,78.48,85.01,1,1,4,1,2,1
8.75,93.58,84.1,7,4,2,0,1,1
8.45,83.57,98.0,4,1,0,1,0,1
7.48,90.25,74.21,4,1,2,0,1,1
8.56,70.12,88.35,4,3,2,1,1,1
7.03,84.14,80.51,3,1,4,0,0,1
7.56,89.12,82.42,1,4,1,0,1,1
7.31,82.66,93.76,3,3,1,0,0,1
7.88,90.52,84.57,9,0,0,0,0,1
10.0,77.86,84.84,2,2,1,1,0,1
5.93,93.27,89.65,7,3,0,1,0,1
8.49,99.0,76.72,2,2,4,0,0,1
6.19,79.1,72.45,5,1,1,0,0,0
7.33,78.44,70.6,1,4,0,1,2,0
8.89,93.63,62.3,3,1,2,1,1,1
7.86,94.64,98.0,9,1,2,2,1,1
6.72,77.82,70.07,6,0,0,1,1,0
7.08,78.64,78.01,8,3,3,1,2,1
8.48,79.75,77.51,5,0,1,1,0,1
7.07,71.24,82.77,5,2,0,2,0,1
8.02,74.65,87.34,5,1,2,1,0,1
7.85,73.97,87.74,2,1,0,0,1,1
7.15,75.86,74.75,9,2,2,0,0,1
9.94,81.72,78.5,5,4,1,0,1,1
8.43,83.87,82.54,1,4,1,1,0,1
5.77,94.4,77.76,4,3,0,1,0,0
7.99,74.01,94.47,5,4,1,1,1,1
7.14,89.87,84.42,3,1,2,0,0,1
8.65,80.29,86.61,5,2,1,1,0,1
7.01,81.6,85.97,3,1,4,1,0,1
7.69,87.4,90.56,4,1,0,0,0,1
8.3,73.02,81.63,3,4,3,1,1,1
8.67,85.06,68.33,1,2,3,1,0,1
6.6,83.33,83.6,5,0,1,2,0,1
7.47,85.94,74.14,3,3,2,2,0,1
7.33,84.31,75.24,2,1,1,1,1,1
7.15,99.0,85.28,2,2,0,1,0,1
9.57,76.9,91.14,4,2,0,2,1,1
8.2,77.75,80.19,2,0,1,1,1,1
6.54,77.01,82.78,4,2,1,0,0,1
8.72,77.56,95.32,3,5,0,1,1,1
9.92,76.9,82.17,2,2,2,0,1,1
8.83,91.51,98.0,3,3,1,1,0,1
6.28,93.36,85.09,10,0,0,2,0,1
7.32,77.43,64.15,4,2,0,1,2,1
9.07,75.34,86.78,5,1,0,1,1,1
7.09,85.77,83.43,3,3,4,0,0,0
8.24,77.58,91.61,4,2,2,0,0,1
8.57,87.06,86.06,4,1,3,0,1,1
6.87,83.62,78.75,3,2,1,0,1,0
7.74,69.87,68.98,6,1,2,1,1,1
5.0,94.38,78.12,3,2,3,0,0,1
6.78,96.37,72.35,5,5,3,1,1,1
7.55,77.1,74.78,3,3,0,1,0,1
6.55,78.9,85.3,1,4,0,2,0,1
9.43,84.29,95.03,6,2,3,1,1,1
6.37,84.68,83.55,3,2,0,0,2,0
7.36,87.27,69.24,2,0,2,0,0,0
7.93,98.08,84.0,5,2,2,1,0,1
9.24,80.58,90.77,6,1,2,1,1,1
6.36,75.61,74.51,1,1,3,1,0,1
8.96,70.97,78.79,6,2,1,1,1,1
7.81,76.15,80.13,2,3,3,0,1,1
6.82,81.73,72.94,2,1,0,1,0,1
8.26,96.36,85.83,2,2,0,1,3,1
8.0,77.86,78.91,3,1,3,0,1,1
7.2,83.79,83.78,4,2,0,0,1,1
7.87,81.87,72.01,3,1,1,0,1,1
7.41,91.51,76.06,3,1,1,0,1,1
7.91,99.0,86.5,1,3,1,1,0,1
8.46,77.75,76.64,4,3,3,0,0,1
9.39,78.08,95.54,7,1,1,0,1,1
6.56,90.35,76.4,6,0,2,0,0,1
9.93,87.46,82.02,6,3,0,2,0,1
5.85,96.77,88.39,5,3,2,2,1,1
7.65,86.67,67.23,3,3,1,0,1,1
8.39,79.13,64.15,2,0,0,0,0,1
8.08,86.73,66.27,5,0,1,0,1,1
7.18,90.87,91.36,6,0,2,1,1,1
7.59,88.56,75.03,1,4,1,0,0,1
7.31,86.06,98.0,6,1,1,1,1,1
7.21,90.53,74.92,3,3,1,1,0,1
8.65,91.35,81.66,4,0,2,2,0,1
8.16,93.06,93.88,4,0,2,0,0,1
7.11,87.19,98.0,3,4,0,1,0,1
8.7,80.66,98.0,10,1,1,1,0,1
8.11,83.17,90.88,1,2,1,0,1,1
8.61,91.65,89.22,5,4,1,1,1,1
8.43,75.46,85.33,2,1,2,0,0,1
6.97,84.95,87.01,2,0,1,0,1,1
7.24,78.85,75.04,3,1,2,0,0,0
8.55,82.23,72.64,7,2,1,1,0,1
8.41,92.23,79.97,1,1,1,1,1,1
7.78,83.53,78.47,2,1,3,2,0,1
7.92,82.37,75.92,4,1,1,0,0,1
9.08,71.12,86.27,6,3,0,2,1,1
7.21,87.97,88.6,1,1,3,0,0,1
8.35,87.16,80.8,4,1,1,1,1,1
7.6,99.0,93.3,6,3,1,0,0,1
7.58,79.54,69.72,3,1,2,0,0,1
8.9,83.75,78.26,5,2,1,2,0,1
8.63,84.0,73.55,3,0,2,0,0,1
8.61,94.62,63.2,4,1,2,1,0,1
9.11,81.24,79.26,6,3,0,1,0,1
7.82,84.23,78.9,2,1,1,1,1,1
8.48,86.86,93.62,3,4,1,1,1,1
7.49,83.49,85.68,3,2,0,1,0,1
8.12,78.43,70.78,4,0,0,0,0,1
7.67,83.55,96.69,9,4,2,1,0,1
7.9,90.59,90.99,6,2,0,2,2,1
8.4,73.79,85.24,6,1,2,0,3,1
6.98,83.06,77.96,5,1,0,0,0,1
9.89,76.4,71.37,1,2,0,1,1,1
6.79,91.56,76.65,1,1,0,1,0,1
6.59,69.81,89.8,9,2,0,1,0,1
8.96,77.53,96.96,2,2,1,0,0,1
8.59,85.02,93.89,5,1,1,1,0,1
8.42,94.52,75.6,4,1,3,0,0,1
8.43,81.47,69.92,2,5,1,1,0,1
7.79,77.56,81.27,4,1,4,1,1,1
6.9,97.05,64.08,1,6,1,0,0,1
7.88,70.42,82.91,3,4,0,1,0,1
7.12,64.41,78.67,3,2,1,2,0,1
8.78,85.52,75.81,4,1,1,1,0,1
7.65,77.98,65.65,2,1,2,2,0,1
6.97,73.83,84.62,1,3,2,1,0,1
7.48,87.67,75.21,1,2,1,1,0,1
8.21,83.95,69.47,2,1,3,0,0,1
7.24,77.49,54.15,6,4,1,0,0,1
6.98,71.76,79.75,3,2,0,0,0,0
8.04,88.98,95.95,4,1,1,1,1,1
8.04,87.2,94.95,4,3,2,2,1,1
7.29,81.21,75.89,2,2,1,0,0,1
7.33,96.77,74.58,3,4,1,1,0,1
8.03,73.44,84.22,3,4,0,1,0,1
6.35,69.8,71.01,4,1,0,1,0,1
6.39,76.46,82.72,4,4,0,0,0,1
7.08,81.64,86.89,1,0,0,1,0,1
7.59,83.95,91.04,5,3,1,0,0,1
8.11,80.07,79.1,3,3,1,0,1,1
9.28,84.82,78.17,6,2,1,2,0,1
8.66,71.99,72.1,3,3,0,0,0,1
7.64,93.55,72.56,8,1,1,0,0,1
7.78,81.34,77.96,4,4,4,2,2,1
6.8,90.94,83.31,8,3,2,0,1,1
7.78,84.74,88.22,4,0,0,1,0,1
7.51,85.65,72.77,4,2,2,0,1,0
8.12,86.56,93.43,5,1,0,1,0,1
6.97,85.58,77.56,5,0,1,0,1,0
8.32,87.14,79.81,4,3,1,0,1,1
9.33,92.63,73.28,2,1,1,1,0,1
7.69,83.57,58.18,3,1,2,1,1,0
8.2,87.67,87.96,5,1,3,1,0,1
8.49,81.28,86.63,1,4,2,2,0,1
7.4,93.52,77.47,2,3,0,0,0,1
8.02,76.59,80.6,4,0,1,1,1,0
7.81,96.41,84.64,4,1,0,1,0,1
7.9,81.68,65.94,3,4,1,2,0,1
7.03,70.55,75.24,4,2,2,0,1,1
7.82,83.02,87.15,9,1,2,1,0,1
8.3,76.55,68.71,1,2,0,2,0,1
9.25,88.73,82.64,4,1,0,0,0,1
8.76,76.78,67.79,1,3,1,2,0,1
9.95,78.43,84.2,5,3,0,0,0,1
7.03,66.88,79.68,4,6,0,1,0,1
8.67,78.38,65.46,4,1,2,2,2,1
7.98,62.61,90.48,3,3,0,1,1,1
9.99,69.33,73.39,5,1,0,1,0,1
6.99,88.08,72.71,4,4,2,0,0,0
6.96,88.29,81.81,2,2,2,2,0,1
7.2,85.4,90.34,7,3,3,1,1,1
5.68,74.26,70.86,5,1,1,0,0,0
7.27,81.62,80.56,2,2,2,1,0,1
7.04,81.97,83.86,8,2,1,1,1,1
7.95,72.73,86.24,1,2,2,0,0,1
8.14,94.03,81.59,4,1,1,0,0,1
9.68,89.02,76.7,4,4,3,0,1,1
8.75,80.23,72.55,1,1,1,1,1,1
7.22,82.22,80.78,3,1,1,1,0,1
6.9,83.67,70.35,3,2,4,1,1,1
8.29,65.67,53.71,6,2,0,1,0,1
6.48,80.02,83.93,4,5,2,2,1,1
9.63,76.54,88.14,4,0,2,1,0,1
8.98,73.99,58.73,1,0,1,0,1,1
7.33,79.75,70.91,6,2,4,1,2,1
6.09,96.38,85.57,3,1,2,1,1,0
9.15,87.13,98.0,3,4,4,1,1,1
7.69,77.43,80.19,3,4,0,1,0,1
9.04,86.58,73.45,4,2,1,0,0,1
6.21,93.19,78.35,6,1,3,2,0,1
7.2,89.4,92.37,7,1,3,0,1,1
7.81,82.48,74.19,2,4,1,1,1,1
7.85,76.82,72.81,3,1,0,0,0,1
7.35,87.59,75.66,3,6,1,2,1,1
8.42,85.15,71.42,4,0,2,0,1,1
6.73,89.16,81.1,4,1,2,0,2,1
7.66,87.08,94.62,3,3,2,0,1,1
7.92,90.4,82.91,5,1,1,1,0,1
8.31,77.72,77.73,5,3,1,0,0,1
8.51,92.54,77.37,4,2,3,1,0,1
6.68,83.58,65.93,8,2,3,1,0,1
6.27,98.6,87.95,4,1,2,0,1,0
9.08,76.49,79.3,3,2,3,0,1,1
8.13,95.89,78.38,5,0,2,1,1,1
7.05,83.58,98.0,9,1,2,1,1,1
9.35,76.79,82.69,5,0,1,1,0,1
7.92,78.13,73.23,2,5,0,1,0,1
8.98,79.44,76.16,5,4,1,0,0,1
7.87,85.39,90.34,2,3,2,0,0,1
9.86,86.18,81.02,2,1,3,0,0,1
9.56,77.41,67.06,5,2,2,1,0,1
7.55,81.81,88.27,2,1,1,2,0,1
8.77,99.0,73.99,5,4,1,1,0,1
8.45,95.82,96.86,1,1,0,0,1,1
9.17,85.49,89.72,3,0,0,0,0,1
6.84,82.3,75.97,3,3,3,0,0,1
8.49,82.96,91.53,2,1,1,1,0,1
8.86,86.91,80.61,6,3,2,0,2,1
6.04,73.82,87.67,2,0,2,2,0,1
6.62,79.94,84.36,1,2,1,1,0,0
5.76,68.65,72.38,5,2,1,2,1,0
7.53,85.19,74.21,2,1,2,1,0,0
8.52,87.18,89.27,5,3,2,1,1,1
9.3,78.13,76.99,1,3,1,1,0,1
7.87,94.59,76.37,5,1,2,1,0,1
9.43,72.19,71.4,5,1,1,1,0,1
6.42,70.29,83.81,5,3,0,1,0,1
6.1,83.8,98.0,8,1,0,1,0,1
7.74,90.38,70.39,4,0,0,2,0,1
8.18,95.47,80.22,5,1,4,1,0,1
7.77,78.33,92.71,6,3,3,1,0,1
5.73,90.63,79.28,5,4,3,2,0,1
7.71,81.69,84.07,4,2,0,0,1,1
6.5,80.62,70.44,2,0,2,0,1,1
8.47,89.07,83.85,7,2,2,1,0,1
8.17,87.22,78.32,2,1,2,1,0,1
6.86,69.39,88.87,4,3,3,1,1,1
7.29,93.81,90.69,3,2,2,1,0,1
6.74,93.04,98.0,4,2,1,1,0,1
7.74,77.0,85.22,5,2,1,1,0,1
8.76,85.17,82.93,2,0,0,0,0,1
6.81,85.95,81.75,7,3,1,1,1,1
8.3,84.09,76.82,2,2,1,1,1,1
7.27,77.6,83.05,5,0,1,0,0,1
7.01,76.63,77.34,1,2,0,1,0,0
7.69,81.8,81.52,3,2,0,1,1,1
6.76,91.38,91.86,1,2,2,0,0,1
7.25,86.35,70.94,4,2,3,0,2,0
6.6,79.04,90.26,5,3,1,2,2,1
9.76,88.17,91.85,5,1,2,1,0,1
7.84,59.21,78.94,3,2,1,0,1,1
7.1,91.19,60.9,4,2,2,0,0,1
8.01,68.08,74.53,4,3,1,1,1,1
7.69,79.1,91.67,9,2,2,1,0,1
7.58,73.04,79.79,5,4,1,1,0,1
8.41,71.64,71.01,5,2,1,0,1,1
8.56,91.29,75.46,7,1,2,2,1,1
7.27,78.26,87.57,3,1,2,1,0,1
7.22,84.77,84.92,2,0,2,0,0,1
7.52,81.62,77.85,7,2,1,1,0,1
5.5,85.82,76.7,7,4,1,1,0,1
6.28,82.61,76.47,5,1,0,2,0,0
9.17,71.74,71.7,6,0,2,2,0,1
9.44,89.97,94.54,5,2,3,0,0,1
7.55,78.05,77.1,2,0,1,2,0,1
8.38,69.55,90.95,5,0,1,1,0,1
8.11,78.58,93.69,7,3,0,2,0,1
10.0,94.01,88.98,6,2,0,0,0,1
8.92,88.8,76.12,2,3,0,1,2,1
7.67,79.21,83.63,6,1,0,0,0,1
6.84,79.21,79.78,3,1,0,1,2,1
6.19,79.43,71.87,5,2,2,0,1,1
8.0,98.61,82.92,4,4,2,1,1,1
7.04,85.06,69.39,2,3,2,0,1,0
6.38,85.44,90.69,5,1,1,0,1,1
7.15,90.24,75.82,6,4,1,1,0,1
6.72,83.91,81.81,6,1,1,2,0,1
9.49,79.93,82.55,3,3,1,1,1,1
8.68,80.43,77.67,4,1,0,2,0,1
7.79,81.43,85.28,4,1,2,0,1,1
9.28,81.7,75.73,5,2,1,1,0,1
7.88,87.82,87.84,2,3,0,1,1,1
6.94,82.42,67.89,1,1,0,0,0,1
9.32,87.86,81.14,1,3,1,1,0,1
8.34,81.35,97.45,7,2,0,1,0,1
6.76,82.63,71.0,7,2,1,1,1,1
7.61,66.01,73.9,5,2,1,1,1,1
6.92,89.33,84.63,5,0,2,1,0,1
6.42,84.77,81.62,2,5,1,0,1,1
8.73,89.98,83.16,1,2,1,0,0,1
9.71,58.83,84.4,6,2,0,1,0,1
6.4,98.71,85.71,3,0,2,0,0,1
8.36,80.88,89.99,3,4,1,0,0,1
7.15,90.87,83.69,3,1,2,1,0,1
7.31,73.68,77.83,2,1,2,1,0,1
7.21,86.9,86.05,4,5,0,0,1,1
6.94,73.57,97.1,3,0,3,1,1,1
7.85,77.01,78.81,7,2,0,1,0,1
6.97,97.31,71.23,4,1,2,0,0,1
8.07,80.47,89.96,3,3,1,1,0,1
7.75,83.74,78.92,5,2,1,1,0,1
7.56,88.96,60.45,2,5,5,1,0,1
6.89,85.97,87.63,4,3,2,1,0,1
7.22,83.2,75.18,3,2,2,0,2,0
8.56,84.92,79.19,5,2,1,1,1,1
8.3,99.0,82.99,2,1,0,1,0,1
6.82,81.54,81.71,6,0,1,2,0,1
7.9,83.61,86.39,3,1,1,1,0,1
8.55,90.41,76.08,4,3,2,1,1,1
6.13,90.84,84.62,5,1,2,0,0,1
8.34,91.5,77.66,4,1,0,0,0,1
7.14,87.11,86.65,4,0,3,0,1,1
8.37,72.86,85.54,2,2,1,1,0,1
7.04,95.07,71.58,3,3,0,0,0,1
6.0,72.83,89.77,2,4,3,1,0,0
6.17,84.42,75.18,1,2,2,0,0,0
7.85,75.97,87.27,3,3,0,2,0,1
8.06,81.49,83.31,4,3,0,0,0,1
6.9,84.63,96.54,4,2,3,2,0,1
8.44,84.57,77.99,7,3,0,2,0,1
6.14,85.38,76.86,2,0,4,1,1,1
7.73,94.91,79.83,5,2,2,1,0,1
6.59,85.63,77.27,8,2,1,1,0,1
7.15,80.05,87.2,9,4,0,1,1,1
7.85,89.71,65.45,2,2,0,0,1,1
6.94,91.52,70.52,4,2,0,0,1,0
7.42,72.18,70.39,4,2,1,1,0,1
8.81,86.78,88.55,6,2,2,1,0,1
7.22,87.61,95.4,5,1,0,1,1,1
8.64,79.62,79.06,1,2,2,0,1,0
6.67,93.01,78.48,2,3,4,1,0,1
8.33,80.8,80.63,6,1,1,0,1,1
9.24,83.0,90.46,5,3,1,0,0,1
5.33,80.62,71.65,4,3,1,0,2,0
7.0,82.12,82.15,5,1,4,0,1,1
8.38,73.23,88.78,4,1,3,0,1,1
7.6,70.48,84.51,4,4,2,1,1,1
8.17,94.76,81.71,1,2,3,0,1,1
7.2,75.22,89.01,8,1,4,1,0,1
7.89,74.07,55.67,2,1,3,0,0,1
7.64,64.77,86.1,4,0,2,2,0,1
8.97,76.89,74.11,7,2,1,1,0,1
8.05,71.42,63.52,6,3,1,0,1,1
8.14,95.14,84.6,3,2,0,1,0,1
7.39,90.08,92.36,5,1,1,1,0,1
7.31,76.49,78.76,5,1,1,1,0,1
7.37,99.0,88.58,3,4,2,0,1,1
8.19,89.85,94.51,3,1,2,2,0,1
7.38,79.4,91.83,5,1,0,1,0,1
8.09,62.0,94.76,1,3,1,0,0,1
9.88,99.0,86.68,4,1,2,1,1,1
8.67,70.88,80.68,2,1,0,1,0,1
7.47,68.84,65.58,1,3,1,1,1,1
9.0,90.18,77.79,2,2,1,1,0,1
7.39,99.0,72.41,4,2,0,1,0,1
5.76,93.07,98.0,4,2,2,0,1,0
6.79,86.51,78.42,2,2,2,2,0,1
5.93,86.76,81.11,9,3,1,1,0,1
7.45,88.83,84.96,4,3,1,0,0,1
7.82,88.07,80.39,5,5,5,0,0,1
9.48,84.25,95.26,4,1,4,0,0,1
8.13,82.83,74.4,3,3,2,2,0,1
7.58,81.5,81.75,6,1,0,0,0,1
8.63,75.97,73.32,5,0,1,1,0,1
5.59,79.75,68.12,5,2,1,0,1,0
8.04,68.46,74.49,4,3,2,1,1,1
8.57,81.21,79.67,4,1,0,1,0,1
6.32,74.09,76.14,3,4,0,2,0,0
